"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4515","Login #6: ""locked_out_user"" should fail","chromium","Thu Apr 10 12:13:18 EEST 2025","passed","Thu Apr 10 12:13:23 EEST 2025","🔐 Data-Driven Login Form Tests","ui-tests\login.spec.ts","",""
"","0","has updated title in response","webkit","Sat Apr 05 11:58:13 EEST 2025","skipped","Sat Apr 05 11:58:13 EEST 2025","Endpoint /Books > PUT Books by ID","get-books.spec.ts","",""
"","2823","Login #4: ""test"" should fail","","Thu Apr 10 12:24:14 EEST 2025","passed","Thu Apr 10 12:24:16 EEST 2025","🔐 Data-Driven Login Form Tests","login.spec.ts","",""
"","2347","Login #6: ""locked_out_user"" should fail","UI tests","Thu Apr 10 12:18:02 EEST 2025","passed","Thu Apr 10 12:18:04 EEST 2025","🔐 Data-Driven Login Form Tests","ui-tests\login.spec.ts","",""
"","0","book is no longer retrievable","firefox","Sat Apr 05 11:58:11 EEST 2025","skipped","Sat Apr 05 11:58:11 EEST 2025","Endpoint /Books > DELETE Books by ID","get-books.spec.ts","",""
"","4745","Login #1: """" should fail","chromium","Thu Apr 10 12:13:18 EEST 2025","passed","Thu Apr 10 12:13:23 EEST 2025","🔐 Data-Driven Login Form Tests","ui-tests\login.spec.ts","",""
"","73","book is no longer retrievable","chromium","Tue Apr 08 11:26:53 EEST 2025","failed","Tue Apr 08 11:26:53 EEST 2025","Endpoint /Books > DELETE Books by ID","api-tests\get-books.spec.ts","",""
"","4822","Login #7: ""standard_user"" should succeed","chromium","Thu Apr 10 12:13:18 EEST 2025","passed","Thu Apr 10 12:13:23 EEST 2025","🔐 Data-Driven Login Form Tests","ui-tests\login.spec.ts","",""
"","1170","Add all elements to cart","chromium","Wed Apr 09 16:51:38 EEST 2025","passed","Wed Apr 09 16:51:39 EEST 2025","addElementToCart","ui tests\login.spec.ts","",""
"","2827","Login #7: ""standard_user"" should succeed","","Thu Apr 10 12:24:14 EEST 2025","passed","Thu Apr 10 12:24:16 EEST 2025","🔐 Data-Driven Login Form Tests","login.spec.ts","",""
"","3","has response data with valid id","webkit","Sat Apr 05 11:58:11 EEST 2025","failed","Sat Apr 05 11:58:11 EEST 2025","Endpoint /Books > POST Books","get-books.spec.ts","",""
"","5","has 404 response code","webkit","Sat Apr 05 11:58:11 EEST 2025","passed","Sat Apr 05 11:58:11 EEST 2025","Endpoint /Books > GET Books by non-existing ID","get-books.spec.ts","",""
"","965","🔐 Потребителят може да се логне успешно","chromium","Tue Apr 08 09:02:32 EEST 2025","passed","Tue Apr 08 09:02:33 EEST 2025","","ui tests\login.spec.ts","",""
"","213","has 200 response code","webkit","Sat Apr 05 11:58:11 EEST 2025","failed","Sat Apr 05 11:58:11 EEST 2025","Endpoint /Books > GET Books by ID","get-books.spec.ts","",""
"","4628","Add all elements to cart","chromium","Thu Apr 10 12:13:18 EEST 2025","passed","Thu Apr 10 12:13:23 EEST 2025","addElementToCart","ui-tests\login.spec.ts","",""
"","2850","Login #4: ""test"" should fail","","Thu Apr 10 12:27:43 EEST 2025","passed","Thu Apr 10 12:27:45 EEST 2025","🔐 Data-Driven Login Form Tests","ui-tests\login.spec.ts","",""
"","234","Login #7: ""problem_user"" should succeed","chromium","Thu Apr 10 09:52:07 EEST 2025","passed","Thu Apr 10 09:52:07 EEST 2025","🔐 Data-Driven Login Form Tests","ui tests\login.spec.ts","",""
"","2315","Login #3: ""standard_user"" should fail","","Thu Apr 10 12:24:14 EEST 2025","passed","Thu Apr 10 12:24:16 EEST 2025","🔐 Data-Driven Login Form Tests","login.spec.ts","",""
"","249","Login #11: ""locked_user"" should fail","chromium","Wed Apr 09 10:24:04 EEST 2025","failed","Wed Apr 09 10:24:05 EEST 2025","🔐 Data-Driven Login Form Tests","ui tests\login.spec.ts","",""
"","383","POST Book debug","chromium","Mon Apr 07 18:59:10 EEST 2025","passed","Mon Apr 07 18:59:10 EEST 2025","","get-books.spec.ts","",""
"","0","book is no longer retrievable","webkit","Sat Apr 05 11:58:13 EEST 2025","skipped","Sat Apr 05 11:58:13 EEST 2025","Endpoint /Books > DELETE Books by ID","get-books.spec.ts","",""
"","6","Should return status 200","webkit","Sat Apr 05 11:51:26 EEST 2025","passed","Sat Apr 05 11:51:26 EEST 2025","GET request to authors","get-authors.spec.ts","",""
"","226","Login #8: """" should succeed","chromium","Wed Apr 09 12:16:25 EEST 2025","passed","Wed Apr 09 12:16:26 EEST 2025","🔐 Data-Driven Login Form Tests","ui tests\login.spec.ts","",""
"","0","has response data with valid id","chromium","Mon Apr 07 19:21:35 EEST 2025","skipped","Mon Apr 07 19:21:35 EEST 2025","Endpoint /Books > POST Books","get-books.spec.ts","",""
"","1","has all fields matching existing book","webkit","Sat Apr 05 11:58:11 EEST 2025","skipped","Sat Apr 05 11:58:11 EEST 2025","Endpoint /Books > GET Books by ID","get-books.spec.ts","",""
"","199","Login #9: ""<empty>"" should succeed","chromium","Wed Apr 09 12:04:05 EEST 2025","failed","Wed Apr 09 12:04:05 EEST 2025","🔐 Data-Driven Login Form Tests","ui tests\login.spec.ts","",""
"","1522","logout","chromium","Thu Apr 10 10:05:28 EEST 2025","passed","Thu Apr 10 10:05:29 EEST 2025","🔐 Data-Driven Login Form Tests","ui tests\login.spec.ts","",""
"","2480","Login #7: ""standard_user"" should succeed","UI tests","Thu Apr 10 12:18:02 EEST 2025","passed","Thu Apr 10 12:18:05 EEST 2025","🔐 Data-Driven Login Form Tests","ui-tests\login.spec.ts","",""
"","50","has 404 response code","chromium","Mon Apr 07 19:21:40 EEST 2025","failed","Mon Apr 07 19:21:40 EEST 2025","Endpoint /Books > GET Books by non-existing ID","get-books.spec.ts","",""
"","5","has response data with valid id","firefox","Sat Apr 05 11:58:08 EEST 2025","failed","Sat Apr 05 11:58:08 EEST 2025","Endpoint /Books > POST Books","get-books.spec.ts","",""
"","2191","Login #3: ""standard_user"" should fail","","Thu Apr 10 12:27:42 EEST 2025","passed","Thu Apr 10 12:27:44 EEST 2025","🔐 Data-Driven Login Form Tests","ui-tests\login.spec.ts","",""
"","61","has 200 response code","firefox","Sat Apr 05 11:58:08 EEST 2025","failed","Sat Apr 05 11:58:08 EEST 2025","Endpoint /Books > GET Books by ID","get-books.spec.ts","",""
"","9","should return the correct author","webkit","Sat Apr 05 11:51:28 EEST 2025","passed","Sat Apr 05 11:51:28 EEST 2025","GET /authors/:id","get-authors.spec.ts","",""
"","4514","Login #3: ""standard_user"" should fail","chromium","Thu Apr 10 12:13:18 EEST 2025","passed","Thu Apr 10 12:13:23 EEST 2025","🔐 Data-Driven Login Form Tests","ui-tests\login.spec.ts","",""
"","524","Login #7: ""standard_user"" should succeed","chromium","Thu Apr 10 10:05:26 EEST 2025","failed","Thu Apr 10 10:05:26 EEST 2025","🔐 Data-Driven Login Form Tests","ui tests\login.spec.ts","",""
"","4794","Login #2: """" should fail","chromium","Thu Apr 10 12:13:18 EEST 2025","passed","Thu Apr 10 12:13:23 EEST 2025","🔐 Data-Driven Login Form Tests","ui-tests\login.spec.ts","",""
"","232","Login #11: ""locked_user"" should succeed","chromium","Wed Apr 09 12:04:06 EEST 2025","passed","Wed Apr 09 12:04:06 EEST 2025","🔐 Data-Driven Login Form Tests","ui tests\login.spec.ts","",""
"","0","has updated title in response","firefox","Sat Apr 05 11:58:11 EEST 2025","skipped","Sat Apr 05 11:58:11 EEST 2025","Endpoint /Books > PUT Books by ID","get-books.spec.ts","",""
"","2895","Login #2: """" should fail","","Thu Apr 10 12:24:14 EEST 2025","passed","Thu Apr 10 12:24:17 EEST 2025","🔐 Data-Driven Login Form Tests","login.spec.ts","",""
"","8","should return the correct author","chromium","Mon Apr 07 23:45:34 EEST 2025","passed","Mon Apr 07 23:45:34 EEST 2025","GET /authors/:id","get-authors.spec.ts","",""
